Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 2-3,B24,6.35E-10,EC_11261900,2,-0.199523052,0.793879446,0.050582665,0.594270267,-0.013164684,-0.223255637,FALSE,FALSE,FALSE,FALSE
EMT day3 2-1,H05,3.23E-05,EC_11189194,2,0.714244101,0.255636052,0.996885707,0.8837853,-0.134005482,0.944667624,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H06,9.68E-06,EC_11189194,2,0.589863094,0.265225117,1.077236214,1.036998741,-0.1150226,0.844935969,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H07,2.90E-06,EC_11189194,2,0.633847946,0.325715369,1.00782843,0.958479366,0.019333871,0.867282208,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H08,8.71E-07,EC_11189194,2,0.268861054,0.490136205,0.347904174,1.221903731,0.02477822,0.258518054,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H09,2.61E-07,EC_11189194,2,0.165161666,0.801671581,0.04586741,1.067756146,-0.082364541,0.065179591,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H10,7.84E-08,EC_11189194,2,0.145062627,1.126644647,0.088168966,1.144943498,0.019073978,0.05488354,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H11,2.35E-08,EC_11189194,2,0.138945529,1.264968508,0.005892541,1.070634933,0.153540301,0.025792285,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H12,7.06E-09,EC_11189194,2,0.17477425,0.824659165,0.073519386,0.913113294,-0.027610247,0.099476175,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H13,2.12E-09,EC_11189194,2,0.123507137,1.174784644,0.029264642,1.283843089,0.017461036,-0.000557379,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,H14,6.35E-10,EC_11189194,2,0.051267113,1.201214207,-0.000484573,1.121129342,0.039474213,-0.06241157,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H05,3.23E-05,EC_11189194,2,0.689564455,0.253302461,0.956254761,0.806711607,-0.103530818,0.91426397,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H06,9.68E-06,EC_11189194,2,0.719087986,0.286831924,1.061825919,0.905738361,-0.10129118,0.97122887,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H07,2.90E-06,EC_11189194,2,0.520608009,0.265325665,0.842439531,0.954491417,0.133222635,0.701471791,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H08,8.71E-07,EC_11189194,2,0.201403099,0.553634463,0.258618373,1.143188414,-0.037098831,0.170649164,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H09,2.61E-07,EC_11189194,2,0.082432037,0.682744014,0.006280561,1.03308262,-0.011243358,-0.022532671,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H10,7.84E-08,EC_11189194,2,0.095001462,0.914228053,-0.010882991,0.764488079,0.016123804,0.008898274,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H11,2.35E-08,EC_11189194,2,0.113124817,0.923063707,0.015854518,1.009918576,-0.027829437,0.011620222,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H12,7.06E-09,EC_11189194,2,0.056708565,0.943734746,-0.007607084,1.088007144,-0.01618491,-0.056813765,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H13,2.12E-09,EC_11189194,2,0.082139725,0.866283157,0.001813279,1.035628242,0.043833688,-0.024718333,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,H14,6.35E-10,EC_11189194,2,0.137386729,1.045575103,0.049715993,1.253622539,0.002422954,0.022832993,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,H05,3.23E-05,EC_11189194,2,0.727609963,0.413289582,0.84960894,1.104625292,-0.08001759,0.880456939,FALSE,FALSE,Not Fitted,FALSE
