PlateSanofi_Well,Plate,Well,tags,Eccent,R/N,Nuclei,Surface_nucleus,G/N,Plate_Sanofi,CPD_ID,Concentration
Plaque cell 9_L07,4182_Plaque cell 9_20122017_1257,L07,,0.776792,0.121216,1810,100.637,0.386518,Plaque cell 9,EC_11188314,2.90E-06
Plaque cell 9_L08,4182_Plaque cell 9_20122017_1257,L08,,0.748456,0.160999,2107,103.355,0.261328,Plaque cell 9,EC_11188314,8.71E-07
Plaque cell 9_L09,4182_Plaque cell 9_20122017_1257,L09,,0.757186,0.139748,1952,102.332,0.301469,Plaque cell 9,EC_11188314,2.61E-07
Plaque cell 9_L10,4182_Plaque cell 9_20122017_1257,L10,,0.755239,0.225324,1977,105.016,0.338938,Plaque cell 9,EC_11188314,7.84E-08
Plaque cell 9_L11,4182_Plaque cell 9_20122017_1257,L11,,0.76522,0.143461,2018,100.964,0.276621,Plaque cell 9,EC_11188314,2.35E-08
Plaque cell 9_L12,4182_Plaque cell 9_20122017_1257,L12,,0.764539,0.18706,2035,102.796,0.346163,Plaque cell 9,EC_11188314,7.06E-09
Plaque cell 9_L13,4182_Plaque cell 9_20122017_1257,L13,,0.763724,0.150155,2005,104.093,0.303116,Plaque cell 9,EC_11188314,2.12E-09
Plaque cell 9_L14,4182_Plaque cell 9_20122017_1257,L14,,0.770134,0.143276,1987,105.589,0.339211,Plaque cell 9,EC_11188314,6.35E-10
Plaque cell 4_N15,4177_Plaque cell 4_20122017_1052,N15,,0.689335,0.66224,3159,100.25,0.319025,Plaque cell 4,EC_11188360,3.23E-05
Plaque cell 4_N16,4177_Plaque cell 4_20122017_1052,N16,,0.729826,0.220131,2171,105.54,0.320933,Plaque cell 4,EC_11188360,9.68E-06
Plaque cell 4_N17,4177_Plaque cell 4_20122017_1052,N17,,0.757829,0.144779,1873,107.64,0.348519,Plaque cell 4,EC_11188360,2.90E-06
Plaque cell 4_N18,4177_Plaque cell 4_20122017_1052,N18,,0.75632,0.208599,1990,104.985,0.326146,Plaque cell 4,EC_11188360,8.71E-07
Plaque cell 4_N19,4177_Plaque cell 4_20122017_1052,N19,,0.761341,0.0974159,1772,106.418,0.315038,Plaque cell 4,EC_11188360,2.61E-07
Plaque cell 4_N20,4177_Plaque cell 4_20122017_1052,N20,,0.769545,0.161322,1934,104.819,0.361347,Plaque cell 4,EC_11188360,7.84E-08
Plaque cell 4_N21,4177_Plaque cell 4_20122017_1052,N21,,0.748788,0.108365,1752,107.972,0.232993,Plaque cell 4,EC_11188360,2.35E-08
