Plate,Well,Concentration,CPD_ID,Class,Eccent,R/N,Nuclei,Surface_nucleus,G/N,LDA_1
4180_Plaque cell 7_20122017_1207,F10,7.84E-08,EC_11176791,2,0.980589523,0.114991108,0.154247392,0.469201387,1.071978987,0.911502102
4180_Plaque cell 7_20122017_1207,G10,7.84E-08,EC_11192156,2,0.870784676,0.020626803,0.095007452,0.884468473,1.061374525,0.955800909
4180_Plaque cell 7_20122017_1207,H10,7.84E-08,EC_11258179,2,0.804768083,0.016351422,0.060730253,1.253041077,0.970246116,0.951432926
4180_Plaque cell 7_20122017_1207,I10,7.84E-08,EC_11191889,2,0.907993552,0.000970904,0.06557377,0.964035964,0.984694739,0.967604422
4180_Plaque cell 7_20122017_1207,J10,7.84E-08,EC_11189708,2,1.173593363,-0.0135892,0.049180328,1.02738438,1.126086368,1.03110112
4180_Plaque cell 7_20122017_1207,K10,7.84E-08,EC_11187457,2,0.956041364,0.021265767,0.070044709,0.920785097,1.158078219,0.989457036
4180_Plaque cell 7_20122017_1207,L10,7.84E-08,EC_11188314,2,0.866892096,0.098040072,0.136363636,1.198859964,1.099926793,0.919291945
4180_Plaque cell 7_20122017_1207,M10,7.84E-08,EC_11192049,2,0.77805738,0.214338835,0.325633383,0.638338132,0.930091221,0.766939476
4180_Plaque cell 7_20122017_1207,N10,7.84E-08,EC_11190627,2,0.864244617,-0.01724042,-0.016020864,0.965211259,0.838045495,0.9787508
4180_Plaque cell 7_20122017_1207,O10,7.84E-08,EC_11187486,2,0.630165533,0.03944539,0.088301043,1.610800964,0.765598927,0.884245762
4180_Plaque cell 7_20122017_1207,P10,7.84E-08,EC_11188204,2,0.856446349,-0.021254419,-0.144932936,1.603044015,0.865907638,1.036277696
4180_Plaque cell 7_20122017_1207,A11,2.35E-08,EC_11190448,2,0.605643586,0.017715696,-0.011922504,0.941822883,0.892916712,0.94253288
4180_Plaque cell 7_20122017_1207,B11,2.35E-08,EC_11189184,2,0.976329965,0.006229154,0.010804769,1.116589293,1.145275054,1.019080618
4180_Plaque cell 7_20122017_1207,C11,2.35E-08,EC_11281652,2,0.869028428,0.029118357,0.014530551,1.18981019,1.094811952,0.989996637
4180_Plaque cell 7_20122017_1207,D11,2.35E-08,EC_11187829,2,0.843090997,0.033589869,0.079359165,1.018569666,0.98199633,0.94304008
4180_Plaque cell 7_20122017_1207,E11,2.35E-08,EC_11177597,2,1.080525302,-0.008420997,0.071162444,0.675312922,1.010540214,0.991098111
4180_Plaque cell 7_20122017_1207,F11,2.35E-08,EC_11176791,2,0.954599667,0.042251648,0.143442623,0.691097138,1.157467864,0.952325879
4180_Plaque cell 7_20122017_1207,G11,2.35E-08,EC_11192156,2,1.002319821,-0.015402968,0.058494784,0.883058118,1.167390585,1.013504164
4180_Plaque cell 7_20122017_1207,H11,2.35E-08,EC_11258179,2,0.92761373,0.043789848,0.117362146,1.09496386,1.148669481,0.959566738
4180_Plaque cell 7_20122017_1207,I11,2.35E-08,EC_11191889,2,1.126279506,-0.009751348,0.026080477,0.62615032,1.101515142,1.027253412
4180_Plaque cell 7_20122017_1207,J11,2.35E-08,EC_11189708,2,1.074666772,-0.023513488,0.034649776,0.929364753,1.250716453,1.046440645
4180_Plaque cell 7_20122017_1207,K11,2.35E-08,EC_11187457,2,1.002450884,0.025173559,0.132265276,0.959569842,1.362614758,0.999860657
4180_Plaque cell 7_20122017_1207,L11,2.35E-08,EC_11188314,2,1.152046554,0.018751853,0.095752608,0.955926427,1.476501177,1.050251685
4180_Plaque cell 7_20122017_1207,M11,2.35E-08,EC_11192049,2,0.911230816,0.029388498,0.086438152,1.077804548,1.06018951,0.96156233
4180_Plaque cell 7_20122017_1207,N11,2.35E-08,EC_11190627,2,0.939697768,0.000135564,0.046944858,1.539578069,1.144243519,1.005325439
4180_Plaque cell 7_20122017_1207,O11,2.35E-08,EC_11187486,2,0.814466769,0.000478359,0.007078987,1.668860551,0.984384208,0.983149388
4180_Plaque cell 7_20122017_1207,P11,2.35E-08,EC_11188204,2,0.905306754,-0.017270641,-0.092026826,1.461655991,1.030539136,1.043656853
4180_Plaque cell 7_20122017_1207,A12,7.06E-09,EC_11190448,2,0.658999463,0.009239191,-0.04880775,1.131045425,0.671261695,0.934412507
4180_Plaque cell 7_20122017_1207,B12,7.06E-09,EC_11189184,2,1.065466127,-0.021169306,-0.043591654,0.889052124,1.168165128,1.062173291
4180_Plaque cell 7_20122017_1207,C12,7.06E-09,EC_11281652,2,0.921519286,0.053580299,0.001862891,1.163130987,0.986143884,0.976142336
4180_Plaque cell 7_20122017_1207,D12,7.06E-09,EC_11187829,2,0.936316334,0.060945649,0.103204173,0.73110419,1.043549321,0.942449882
4180_Plaque cell 7_20122017_1207,E12,7.06E-09,EC_11177597,2,0.978282808,-0.006534204,0.065946349,1.16724452,1.190034376,1.009580571
4180_Plaque cell 7_20122017_1207,F12,7.06E-09,EC_11176791,2,1.120656889,0.032453796,0.075633383,1.067814538,1.489133015,1.051891719
4180_Plaque cell 7_20122017_1207,G12,7.06E-09,EC_11192156,2,0.788476913,0.009629723,0.097988077,1.356232003,0.917752068,0.930522938
