Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-3,D10,7.84E-08,EC_2118873,2,0.129472999,1.227087944,-0.031980776,0.992937633,0.077392551,-0.078677996,Not Fitted,False,Not Fitted,False
EMT 1-3,D11,2.35E-08,EC_2118873,2,0.057254392,1.201276882,-0.117854796,1.449693788,0.108367272,-0.256865601,Not Fitted,False,Not Fitted,False
EMT 1-3,D12,7.06E-09,EC_2118873,2,0.025374105,1.160998791,0.151382022,1.024828226,0.136650961,-0.141911388,Not Fitted,False,Not Fitted,False
EMT 1-3,D13,2.12E-09,EC_2118873,2,0.008783344,1.306547953,-0.159869268,1.291108335,0.145030524,-0.281645274,Not Fitted,False,Not Fitted,False
EMT 1-3,D14,6.35E-10,EC_2118873,2,0.029277814,1.040380278,0.05456415,0.976546248,0.112290736,-0.1510263,Not Fitted,False,Not Fitted,False
EMT 1-1,C05,3.23E-05,EC_2153600,2,-0.487529099,0.436758406,-0.550142124,0.042900979,-0.117933218,-0.599831805,Not Fitted,True,Not Fitted,True
EMT 1-1,C06,9.68E-06,EC_2153600,2,0.285001663,0.87628549,1.381369123,1.136371902,0.285244964,0.367027034,Not Fitted,True,Not Fitted,False
EMT 1-1,C07,2.90E-06,EC_2153600,2,0.070502162,0.829247863,0.754950688,1.172898403,0.275522215,0.011108774,Not Fitted,False,Not Fitted,False
EMT 1-1,C08,8.71E-07,EC_2153600,2,-0.026604589,0.946811969,0.061773062,1.187284632,0.006361019,-0.243955377,Not Fitted,False,Not Fitted,False
EMT 1-1,C09,2.61E-07,EC_2153600,2,0.049883605,0.79504543,-0.028383628,0.93213418,-0.005865571,-0.141785456,Not Fitted,False,Not Fitted,False
EMT 1-1,C10,7.84E-08,EC_2153600,2,0.06185567,0.924084882,0.033650083,1.051635206,-0.025583731,-0.13951807,Not Fitted,False,Not Fitted,False
EMT 1-1,C11,2.35E-08,EC_2153600,2,0.007981377,1.035876998,-0.147627859,0.823975826,-0.029234749,-0.187984306,Not Fitted,False,Not Fitted,False
EMT 1-1,C12,7.06E-09,EC_2153600,2,0.043897572,0.885120887,0.061803966,1.033291285,-0.000867865,-0.146551583,Not Fitted,False,Not Fitted,False
