Plate,Well,G/N,R/N,Nuclei,Eccent,CPD_ID,Concentration
EMT-Serie2-5-C1,C05,-0.04146201,0.135641619,-0.849706129,-2.786663564,Canertinib,3.23E-05
EMT-Serie2-5-C1,C06,0.226098426,0.108604911,-0.751469353,-0.602906195,Canertinib,9.68E-06
EMT-Serie2-5-C1,C07,0.148038769,-0.296701396,-0.278337531,-0.536663564,Canertinib,2.90E-06
EMT-Serie2-5-C1,C08,0.142785815,-0.285076868,-0.256926952,-0.534284828,Canertinib,8.71E-07
EMT-Serie2-5-C1,C09,0.086097024,-0.17882957,-0.51427372,-0.574826766,Canertinib,2.61E-07
EMT-Serie2-5-C1,C10,0.182378889,0.099324867,-0.747691016,-1.123590857,Canertinib,7.84E-08
EMT-Serie2-5-C1,C11,0.175914714,-0.30302975,-0.298488665,-0.594218637,Canertinib,2.35E-08
EMT-Serie2-5-C1,C12,0.536353195,-0.318421665,0.018471872,0.202476988,Canertinib,7.06E-09
EMT-Serie2-5-C1,C13,0.467000956,-0.333986252,-0.061293031,0.384863998,Canertinib,2.12E-09
EMT-Serie2-5-C1,C14,0.567920913,-0.305991286,-0.000419815,0.311019754,Canertinib,6.35E-10
EMT-Serie2-5-C2,C05,-0.048940308,0.058811827,-0.791348601,-3.315636295,Canertinib,3.23E-05
EMT-Serie2-5-C2,C06,0.096754008,0.215624083,-0.729431722,-0.572806647,Canertinib,9.68E-06
EMT-Serie2-5-C2,C07,0.191542631,-0.288917985,-0.263358779,-0.450711167,Canertinib,2.90E-06
EMT-Serie2-5-C2,C08,0.167080491,-0.258941915,-0.33418151,-0.533516406,Canertinib,8.71E-07
EMT-Serie2-5-C2,C09,0.130549226,-0.061502472,-0.690415606,-0.254471201,Canertinib,2.61E-07
EMT-Serie2-5-C2,C10,0.271065956,-0.001307933,-0.725614928,-0.793245083,Canertinib,7.84E-08
EMT-Serie2-5-C2,C11,0.065685154,-0.222594081,-0.572943172,0.050673614,Canertinib,2.35E-08
EMT-Serie2-5-C2,C12,0.501494575,-0.289435233,0.081849025,0.24045909,Canertinib,7.06E-09
EMT-Serie2-5-C2,C13,0.306007816,-0.310212317,-0.095419847,0.287025302,Canertinib,2.12E-09
EMT-Serie2-5-C2,C14,0.301129412,-0.321737787,0.005513147,0.261066516,Canertinib,6.35E-10
EMT-Serie2-5-C3,C05,-0.047680166,-0.069785813,-0.799224472,-3.852797478,Canertinib,3.23E-05
EMT-Serie2-5-C3,C06,0.153518013,0.211696944,-0.734597156,-1.300183872,Canertinib,9.68E-06
EMT-Serie2-5-C3,C07,0.061766764,-0.309175864,-0.272296424,-0.492960336,Canertinib,2.90E-06
EMT-Serie2-5-C3,C08,0.126680419,-0.296550497,-0.336492891,-0.542553191,Canertinib,8.71E-07
EMT-Serie2-5-C3,C09,0.280539923,-0.115192745,-0.678586816,-0.561544523,Canertinib,2.61E-07
EMT-Serie2-5-C3,C10,0.083203103,0.181801346,-0.72985782,-0.847491463,Canertinib,7.84E-08
EMT-Serie2-5-C3,C11,0.310014233,-0.339836828,-0.312796209,-0.385526661,Canertinib,2.35E-08
EMT-Serie2-5-C3,C12,0.493386283,-0.305073412,0.074105989,0.287654321,Canertinib,7.06E-09
EMT-Serie2-5-C3,C13,0.427044813,-0.356065061,-0.055148643,0.323010244,Canertinib,2.12E-09
EMT-Serie2-5-C3,C14,0.450124507,-0.308500923,0.037052994,0.346283163,Canertinib,6.35E-10
EMT-Serie2-3-C1,H15,0.28704094,-0.148487575,0.442857143,-0.574751395,EC_11175103,3.23E-05
EMT-Serie2-3-C1,H16,0.713041076,0.29595528,0.264705882,0.04887218,EC_11175103,9.68E-06
EMT-Serie2-3-C1,H17,0.850404086,0.207672909,0.222268908,0.488721805,EC_11175103,2.90E-06
EMT-Serie2-3-C1,H18,0.931217713,-0.021204133,0.008823529,0.824787776,EC_11175103,8.71E-07
EMT-Serie2-3-C1,H19,0.949782536,-0.101090102,0.026470588,0.914358477,EC_11175103,2.61E-07
EMT-Serie2-3-C1,H20,0.613596596,0.094639033,0.098319328,0.512272617,EC_11175103,7.84E-08
EMT-Serie2-3-C1,H21,0.940493174,0.116631312,0.155042017,0.466504972,EC_11175103,2.35E-08
EMT-Serie2-3-C1,H22,0.957695696,-0.06387559,-0.092016807,0.931093864,EC_11175103,7.06E-09
EMT-Serie2-3-C1,H23,0.735863089,0.035872804,-0.035714286,0.605529954,EC_11175103,2.12E-09
EMT-Serie2-3-C1,H24,0.848941002,0.02411355,-0.089495798,0.203177298,EC_11175103,6.35E-10
EMT-Serie2-3-C2,H15,0.243518963,-0.145882586,0.526361279,-0.818883641,EC_11175103,3.23E-05
EMT-Serie2-3-C2,H16,0.580446077,0.302904227,0.394987035,-0.188937986,EC_11175103,9.68E-06
EMT-Serie2-3-C2,H17,0.787128011,0.000706725,0.093344857,0.558687592,EC_11175103,2.90E-06
EMT-Serie2-3-C2,H18,0.859948103,-0.005154068,-0.029818496,0.820026411,EC_11175103,8.71E-07
EMT-Serie2-3-C2,H19,0.84310462,-0.096108723,0.049265341,0.697343694,EC_11175103,2.61E-07
EMT-Serie2-3-C2,H20,0.911527867,-0.018655773,0.010371651,0.98364569,EC_11175103,7.84E-08
EMT-Serie2-3-C2,H21,0.790490659,-0.02353336,0.021607606,0.797729697,EC_11175103,2.35E-08
EMT-Serie2-3-C2,H22,0.911597418,-0.016770679,0,0.797120219,EC_11175103,7.06E-09
EMT-Serie2-3-C2,H23,0.988046268,0.006171279,-0.088159032,0.861140738,EC_11175103,2.12E-09
EMT-Serie2-3-C2,H24,0.738614546,0.067804228,-0.111063094,0.585987099,EC_11175103,6.35E-10
EMT-Serie2-3-C3,H15,0.24262976,-0.145440233,0.473574698,-0.65173578,EC_11175103,3.23E-05
