CPD_ID,EC_50 G/N,EC_50 R/N,EC_50 Nuclei,Run
EC_11261587,1.08E-05,3.04E-06,1.63E-07,3.00E+00
EC_11261632,7.22E-06,3.17E-06,1.68E-06,3.00E+00
EC_11261900,1.67E-06,4.87E-07,4.14E-07,3.00E+00
EC_11262262,1.09E-05,1.11E-06,2.71E-06,3.00E+00
EC_11262326,2.98E-05,3.07E-06,6.63E-06,3.00E+00
EC_11262380,4.31E-06,8.47E-07,8.76E-07,3.00E+00
EC_11263657,6.48E-09,1.06E-05,1.68E-09,3.00E+00
EC_11265529,6.85E-07,1.25E-05,2.62E-05,3.00E+00
EC_11265537,1.48E-05,1.49E-06,8.50E-07,3.00E+00
EC_11265545,2.21E-06,2.75E-07,1.86E-07,3.00E+00
EC_11281258,1.25E-05,8.16E-09,1.28E-05,3.00E+00
EC_11281652,2.25E-05,8.47E-07,2.75E-05,3.00E+00
EC_11281741,2.71E-06,6.36E-06,7.51E-06,3.00E+00
EC_11284159,1.45E-09,2.79E-08,2.25E-08,3.00E+00
EC_11301156,1.24E-05,3.11E-06,6.35E-10,3.00E+00
EC_16576878,2.32E-09,3.23E-05,2.43E-08,3.00E+00
EC_16578705,9.22E-06,2.89E-05,7.00E-06,3.00E+00
EC_2072246,2.30E-06,2.89E-05,2.84E-06,3.00E+00
EC_2072738,3.65E-06,4.02E-06,1.97E-06,3.00E+00
EC_2075773,2.47E-05,3.09E-07,1.19E-05,3.00E+00
EC_2075960,1.85E-09,3.99E-08,6.49E-10,3.00E+00
EC_2077640,2.46E-07,2.15E-07,2.50E-09,3.00E+00
EC_2082611,9.19E-07,1.99E-06,4.74E-07,3.00E+00
EC_24223796,4.86E-07,3.22E-05,4.84E-07,3.00E+00
EC_24723328,1.59E-06,1.00E-06,7.07E-07,3.00E+00
EC_27082048,6.35E-10,1.00E-05,6.96E-06,3.00E+00
EC_27082056,1.55E-05,6.92E-08,1.81E-06,3.00E+00
EC_27084143,1.32E-05,1.86E-07,1.74E-09,3.00E+00
EC_6772302,1.18E-08,3.02E-05,5.03E-07,3.00E+00
Saracatinib,1.39E-05,2.83E-05,6.95E-10,3.00E+00
X-WE51780341,1.40E-05,1.43E-07,6.85E-10,3.00E+00
X-WE52880180,5.47E-09,8.35E-08,8.61E-08,3.00E+00
X-WE60667960,8.82E-07,1.17E-05,1.92E-09,3.00E+00
X-WE60673361,2.33E-06,1.86E-07,1.31E-07,3.00E+00
X-WE60677874,1.45E-05,1.34E-06,7.27E-07,3.00E+00
X-WE60677880,2.64E-06,1.81E-06,1.79E-06,3.00E+00
X-WE60677898,1.79E-06,1.13E-06,2.26E-06,3.00E+00
X-WE60848792,2.42E-09,2.61E-07,6.57E-07,3.00E+00
X-XA25731,1.64E-09,8.87E-07,2.96E-08,3.00E+00
X-XEW670281,3.54E-06,9.97E-09,2.69E-09,3.00E+00
