Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-4-C2,J22,-0.173060157,0.000749016,0.75100577,X-WE60848792,7.06E-09,0.807175494
EMT-Serie2-4-C2,J23,-0.122493461,0.012358015,0.260595665,X-WE60848792,2.12E-09,0.735288763
EMT-Serie2-4-C2,J24,-0.176111595,-0.043949204,-0.332106658,X-WE60848792,6.35E-10,0.713251288
EMT-Serie2-4-C3,J15,0.374166667,0.149936499,-0.147501123,X-WE60848792,3.23E-05,0.518477525
EMT-Serie2-4-C3,J16,0.16,0.12806052,0.268863811,X-WE60848792,9.68E-06,0.779550528
EMT-Serie2-4-C3,J17,0.1825,0.146919473,0.28612205,X-WE60848792,2.90E-06,0.540040498
EMT-Serie2-4-C3,J18,0.066666667,0.146809288,0.576261332,X-WE60848792,8.71E-07,0.530893355
EMT-Serie2-4-C3,J19,0.027083333,0.057355397,0.765969818,X-WE60848792,2.61E-07,0.896934541
EMT-Serie2-4-C3,J20,0.039583333,0.000832183,0.834447763,X-WE60848792,7.84E-08,0.79178497
EMT-Serie2-4-C3,J21,0.084166667,0.059195189,0.693659645,X-WE60848792,2.35E-08,0.718989113
EMT-Serie2-4-C3,J22,0.022083333,0.048678366,0.513756376,X-WE60848792,7.06E-09,0.662558905
EMT-Serie2-4-C3,J23,-0.023333333,0.016985815,0.418452837,X-WE60848792,2.12E-09,0.550572113
EMT-Serie2-4-C3,J24,-0.172916667,0.008524803,0.01659751,X-WE60848792,6.35E-10,0.81251874
EMT-Serie2-3-C1,C15,-0.025630252,-0.170571399,-0.402740723,X-XA25731,3.23E-05,0.831644648
EMT-Serie2-3-C1,C16,0.001680672,0.301636798,0.660295901,X-XA25731,9.68E-06,1.491297088
EMT-Serie2-3-C1,C17,-0.058823529,0.042120757,1.085835557,X-XA25731,2.90E-06,1.149755776
EMT-Serie2-3-C1,C18,-0.002941176,0.057551827,1.134804754,X-XA25731,8.71E-07,1.112372436
EMT-Serie2-3-C1,C19,-0.051680672,0.039101199,1.28678147,X-XA25731,2.61E-07,1.225631063
EMT-Serie2-3-C1,C20,-0.068067227,-0.026276303,1.338612661,X-XA25731,7.84E-08,1.239598121
EMT-Serie2-3-C1,C21,-0.110084034,-0.038417471,1.545379578,X-XA25731,2.35E-08,1.096129085
EMT-Serie2-3-C1,C22,-0.120168067,-0.068357009,1.578049964,X-XA25731,7.06E-09,1.000187664
EMT-Serie2-3-C1,C23,-0.220168067,-0.024727188,1.327455736,X-XA25731,2.12E-09,1.038206976
