Plate,Well,Nuclei,R/N,Eccent,CPD_ID,Concentration,G/N
EMT-Serie2-5-C1,O13,-0.022670025,-0.013625382,0.668062881,DMSO,0.00E+00,0.886169223
EMT-Serie2-5-C1,P13,-0.083123426,-0.079249263,0.488933706,DMSO,0.00E+00,0.590574095
EMT-Serie2-5-C1,D14,-0.09697733,0.020791979,0.953407798,DMSO,0.00E+00,1.060294861
EMT-Serie2-5-C1,E14,-0.028547439,0.077576771,1.06885407,DMSO,0.00E+00,1.049886994
EMT-Serie2-5-C1,F14,-0.000419815,0.122021945,0.896059572,DMSO,0.00E+00,0.982648143
EMT-Serie2-5-C1,G14,-0.041561713,-0.014555812,1.124030406,DMSO,0.00E+00,1.062265409
EMT-Serie2-5-C1,H14,-0.015952981,-0.045421269,1.101173855,DMSO,0.00E+00,1.053425539
EMT-Serie2-5-C1,I14,-0.000419815,0.016653562,1.187299617,DMSO,0.00E+00,1.189893266
EMT-Serie2-5-C1,J14,-0.002099076,0.038174758,1.181171786,DMSO,0.00E+00,0.973048622
EMT-Serie2-5-C1,K14,-0.049958018,0.010998201,1.117463026,DMSO,0.00E+00,1.100364827
