Plate,Well,Class,Nuclei,R/N,G/N,Eccent,CPD_ID,Concentration
EMT-Serie2-5-C1,C05,2,-0.849706129,0.135641619,-0.04146201,-2.786663564,Canertinib,3.23E-05
EMT-Serie2-5-C1,C06,2,-0.751469353,0.108604911,0.226098426,-0.602906195,Canertinib,9.68E-06
EMT-Serie2-5-C1,C07,2,-0.278337531,-0.296701396,0.148038769,-0.536663564,Canertinib,2.90E-06
EMT-Serie2-5-C1,C08,2,-0.256926952,-0.285076868,0.142785815,-0.534284828,Canertinib,8.71E-07
EMT-Serie2-5-C1,C09,2,-0.51427372,-0.17882957,0.086097024,-0.574826766,Canertinib,2.61E-07
EMT-Serie2-5-C1,C10,2,-0.747691016,0.099324867,0.182378889,-1.123590857,Canertinib,7.84E-08
EMT-Serie2-5-C1,C11,2,-0.298488665,-0.30302975,0.175914714,-0.594218637,Canertinib,2.35E-08
EMT-Serie2-5-C1,C12,2,0.018471872,-0.318421665,0.536353195,0.202476988,Canertinib,7.06E-09
EMT-Serie2-5-C1,C13,2,-0.061293031,-0.333986252,0.467000956,0.384863998,Canertinib,2.12E-09
EMT-Serie2-5-C1,C14,2,-0.000419815,-0.305991286,0.567920913,0.311019754,Canertinib,6.35E-10
EMT-Serie2-5-C2,C05,2,-0.791348601,0.058811827,-0.048940308,-3.315636295,Canertinib,3.23E-05
EMT-Serie2-5-C2,C06,2,-0.729431722,0.215624083,0.096754008,-0.572806647,Canertinib,9.68E-06
EMT-Serie2-5-C2,C07,2,-0.263358779,-0.288917985,0.191542631,-0.450711167,Canertinib,2.90E-06
EMT-Serie2-5-C2,C08,2,-0.33418151,-0.258941915,0.167080491,-0.533516406,Canertinib,8.71E-07
EMT-Serie2-5-C2,C09,2,-0.690415606,-0.061502472,0.130549226,-0.254471201,Canertinib,2.61E-07
EMT-Serie2-5-C2,C10,2,-0.725614928,-0.001307933,0.271065956,-0.793245083,Canertinib,7.84E-08
EMT-Serie2-5-C2,C11,2,-0.572943172,-0.222594081,0.065685154,0.050673614,Canertinib,2.35E-08
EMT-Serie2-5-C2,C12,2,0.081849025,-0.289435233,0.501494575,0.24045909,Canertinib,7.06E-09
EMT-Serie2-5-C2,C13,2,-0.095419847,-0.310212317,0.306007816,0.287025302,Canertinib,2.12E-09
EMT-Serie2-5-C2,C14,2,0.005513147,-0.321737787,0.301129412,0.261066516,Canertinib,6.35E-10
EMT-Serie2-5-C3,C05,2,-0.799224472,-0.069785813,-0.047680166,-3.852797478,Canertinib,3.23E-05
EMT-Serie2-5-C3,C06,2,-0.734597156,0.211696944,0.153518013,-1.300183872,Canertinib,9.68E-06
EMT-Serie2-5-C3,C07,2,-0.272296424,-0.309175864,0.061766764,-0.492960336,Canertinib,2.90E-06
EMT-Serie2-5-C3,C08,2,-0.336492891,-0.296550497,0.126680419,-0.542553191,Canertinib,8.71E-07
EMT-Serie2-5-C3,C09,2,-0.678586816,-0.115192745,0.280539923,-0.561544523,Canertinib,2.61E-07
EMT-Serie2-5-C3,C10,2,-0.72985782,0.181801346,0.083203103,-0.847491463,Canertinib,7.84E-08
EMT-Serie2-5-C3,C11,2,-0.312796209,-0.339836828,0.310014233,-0.385526661,Canertinib,2.35E-08
EMT-Serie2-5-C3,C12,2,0.074105989,-0.305073412,0.493386283,0.287654321,Canertinib,7.06E-09
EMT-Serie2-5-C3,C13,2,-0.055148643,-0.356065061,0.427044813,0.323010244,Canertinib,2.12E-09
EMT-Serie2-5-C3,C14,2,0.037052994,-0.308500923,0.450124507,0.346283163,Canertinib,6.35E-10
EMT-Serie2-3-C1,H15,2,0.442857143,-0.148487575,0.28704094,-0.574751395,EC_11175103,3.23E-05
EMT-Serie2-3-C1,H16,2,0.264705882,0.29595528,0.713041076,0.04887218,EC_11175103,9.68E-06
EMT-Serie2-3-C1,H17,2,0.222268908,0.207672909,0.850404086,0.488721805,EC_11175103,2.90E-06
