CPD_ID,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,Run
EC_11189738,6.84E-10,-0.282,-0.0287,12.8,0.364,1.29E-08,0.0336,0.13,13.1,0.298,2.97E-05,0.723,1.06,-100,0.26,2
EC_11189828,2.40E-09,-0.105,0.022,1.08,0.18,2.97E-05,-0.223,0.0667,12.1,0.571,6.35E-10,0.588,0.962,10.7,0.125,2
EC_11189850,5.94E-07,-0.00946,0.62,1.16,0.833,8.13E-07,0.106,0.724,14.7,0.775,5.44E-06,0.0351,0.876,0.866,0.705,2
EC_11189978,2.84E-08,-0.0684,0.0141,13.7,0.0451,1.66E-07,0.0296,0.078,14.3,0.0824,1.57E-05,0.0229,0.984,3.17,0.812,2
EC_11190004,2.69E-05,-0.831,0.059,17.2,0.923,2.54E-07,-0.172,-0.00919,1.86,0.38,1.20E-06,-0.0509,0.876,0.609,0.892,2
EC_11190013,1.71E-05,-0.272,-0.0296,2.88,0.52,2.19E-08,0.0555,0.0991,11.7,0.0634,1.48E-05,0.28,0.905,2.82,0.711,2
EC_11190059,3.13E-06,0.036,0.269,15.2,0.665,8.98E-07,0.0292,0.179,15.8,0.201,1.34E-05,0.169,1.16,3.21,0.897,2
EC_11190219,4.87E-07,-0.0143,0.0211,14.8,0.084,1.59E-05,0.029,0.472,2.33,0.79,1.94E-05,1.11,1.51,3.01,0.611,2
EC_11190427,9.59E-06,-0.12,0.411,3.49,0.924,8.68E-06,-0.0242,0.541,5.09,0.904,1.24E-05,0.54,0.861,0.285,0.194,2
EC_11190448,2.45E-08,0.329,0.482,14.9,0.0258,2.39E-08,0.456,0.718,14.5,0.112,1.67E-06,-0.0344,0.611,0.8,0.848,2
EC_11190481,7.70E-07,-0.0746,0.263,0.634,0.728,6.38E-10,0.0455,0.186,20.1,0.0165,9.64E-06,-0.0423,1.01,2.84,0.846,2
EC_11190511,2.84E-06,0.0187,0.148,14.8,0.21,6.96E-06,0.0189,0.783,2.03,0.964,8.79E-06,0.0842,1.01,1.45,0.878,2
EC_11190627,6.42E-06,-0.184,0.318,3.87,0.803,1.03E-05,-0.0211,0.782,3.35,0.956,8.63E-06,0.593,0.752,14.2,0.39,2
EC_11190878,2.48E-06,-0.0095,0.74,1.77,0.969,2.07E-06,0.0472,0.918,2.68,0.975,3.98E-06,0.167,1.2,0.737,0.824,2
EC_11190967,3.23E-06,-0.00328,0.507,15.9,0.88,3.15E-06,-0.0424,0.142,15.7,0.16,1.17E-05,0.113,0.882,2.59,0.822,2
EC_11191211,9.00E-07,-0.0676,0.244,15.8,0.793,4.98E-07,-0.0124,0.0356,10.1,0.0324,7.10E-06,0.0184,0.905,1.64,0.907,2
EC_11191242,2.06E-06,-0.0148,0.398,2.42,0.829,1.01E-06,-0.000837,0.292,6.69,0.447,1.54E-05,0.1,0.945,3.89,0.738,2
EC_11191283,2.40E-07,0.00702,0.2,13.1,0.256,1.27E-07,0.0315,0.132,12.1,0.083,1.73E-06,-0.0462,1.07,0.641,0.952,2
EC_11191287,7.84E-08,0.00556,0.0931,10.3,0.105,9.02E-07,0.00661,0.148,12.5,0.209,2.79E-05,0.216,1.18,17.5,0.793,2
EC_11191311,6.39E-10,0.0682,0.208,12.2,0.0794,7.35E-07,0.0283,0.122,1.03,0.175,6.35E-10,0.747,1.05,0.635,0.151,2
EC_11191498,3.84E-06,0.0175,0.406,1.36,0.871,3.14E-06,0.0568,0.332,15.3,0.672,3.06E-05,0.757,1.06,11.4,0.246,2
EC_11191538,2.19E-09,-0.124,0.0098,12.8,0.159,1.23E-05,-0.263,0.0138,100,0.666,2.70E-05,0.124,0.9,10.9,0.727,2
