CPD_ID,EC_50 Nuclei,EC_50 R/N,EC_50 G/N,EC_50 LDA_1,Run
EC_1669101,6.37E-06,6.97E-06,7.58E-06,6.28E-06,2.00E+00
EC_2115383,Not Fitted,Not Fitted,3.17E-06,2.92E-06,2
EC_2153600,8.59E-06,1.28E-06,Not Fitted,3.76E-06,2.00E+00
EC_2118873,Not Fitted,5.73E-06,Not Fitted,8.28E-06,2
EC_3028064,5.07E-06,1.81E-06,2.37E-06,3.86E-06,2.00E+00
EC_4753261,3.33E-06,2.00E-06,Not Fitted,3.66E-06,2
EC_3839735,3.12E-06,1.75E-06,3.19E-06,3.13E-06,2.00E+00
EC_4753381,Not Fitted,Not Fitted,5.53E-06,Not Fitted,2
EC_3908975,2.61E-06,Not Fitted,3.71E-06,1.79E-06,2.00E+00
EC_4756168,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2
EC_3941139,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.00E+00
EC_4795178,8.91E-07,6.25E-07,2.51E-06,8.72E-07,2
EC_3960084,2.40E-06,Not Fitted,2.59E-06,1.65E-06,2.00E+00
EC_9786646,1.75E-05,3.87E-06,2.45E-07,1.53E-05,2
EC_3970232,3.23E-06,3.28E-06,Not Fitted,3.52E-06,2.00E+00
EC_11484996,4.08E-06,3.09E-06,Not Fitted,4.03E-06,2
EC_11494581,8.90E-07,2.01E-06,2.97E-06,1.19E-06,2.00E+00
EC_11509486,4.44E-06,Not Fitted,Not Fitted,3.12E-06,2
EC_11497025,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.00E+00
EC_11509578,4.24E-06,1.11E-06,Not Fitted,3.04E-06,2
EC_11497057,4.39E-06,3.80E-06,Not Fitted,3.22E-06,2.00E+00
EC_11511738,6.70E-06,Not Fitted,Not Fitted,6.79E-06,2
EC_11497981,8.07E-06,Not Fitted,1.04E-05,6.02E-06,2.00E+00
EC_11512806,2.79E-06,1.09E-06,Not Fitted,2.60E-06,2
EC_11498013,4.28E-06,5.43E-07,Not Fitted,4.06E-06,2.00E+00
X-WE52880180,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2
EC_11501541,4.94E-06,8.69E-07,Not Fitted,3.15E-06,2.00E+00
X-WE53705734,4.49E-06,Not Fitted,5.92E-06,4.03E-06,2
EC_11509470,4.22E-06,1.51E-06,Not Fitted,3.35E-06,2.00E+00
EC_27082056,3.21E-06,9.00E-07,3.14E-06,2.39E-06,2
EC_11509478,Not Fitted,Not Fitted,6.38E-06,5.35E-06,2.00E+00
EC_27084143,Not Fitted,Not Fitted,5.17E-06,6.97E-06,2
EC_6772302,4.14E-06,4.58E-06,Not Fitted,4.54E-06,2.00E+00
EC_11392057,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2
X-XEW670281,3.52E-06,4.28E-06,Not Fitted,4.32E-06,2.00E+00
EC_11188057,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2
EC_16097031,1.39E-05,5.68E-06,Not Fitted,1.17E-05,2.00E+00
EC_11188498,3.88E-06,3.23E-06,Not Fitted,4.22E-06,2
EC_16997113,3.15E-06,9.54E-07,3.11E-06,2.79E-06,2.00E+00
EC_11189194,1.70E-06,Not Fitted,3.71E-06,1.36E-06,2
EC_10645834,3.14E-06,2.87E-06,1.33E-05,3.09E-06,2.00E+00
EC_11190448,5.18E-06,6.32E-06,1.27E-05,6.09E-06,2
EC_11241847,5.59E-06,3.02E-06,Not Fitted,4.33E-06,2.00E+00
EC_11190511,5.39E-07,2.19E-07,1.11E-06,5.49E-07,2
EC_11386795,5.42E-06,3.99E-06,Not Fitted,3.97E-06,2.00E+00
EC_11190878,2.07E-06,9.54E-07,3.32E-06,1.89E-06,2
EC_11391704,1.21E-05,1.22E-05,Not Fitted,1.28E-05,2.00E+00
EC_11191242,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2
EC_11191283,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.00E+00
EC_11261900,1.90E-06,2.78E-06,Not Fitted,2.52E-06,2
EC_11192049,4.53E-06,3.68E-06,Not Fitted,4.14E-06,2.00E+00
EC_11262380,7.64E-07,9.29E-07,Not Fitted,1.45E-06,2
EC_11257142,3.44E-06,9.11E-07,Not Fitted,2.84E-06,2.00E+00
EC_11301156,9.07E-07,6.80E-07,Not Fitted,9.15E-07,2
EC_11258179,2.26E-06,1.25E-06,Not Fitted,2.31E-06,2.00E+00
EC_27080206,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2
EC_11259640,3.86E-06,3.39E-06,Not Fitted,3.70E-06,2.00E+00
EC_27082048,5.39E-06,5.89E-06,Not Fitted,6.59E-06,2
EC_11261479,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.00E+00
EC_27083992,4.28E-06,Not Fitted,Not Fitted,4.54E-06,2
EC_11261582,9.13E-07,9.08E-07,3.38E-06,9.15E-07,2.00E+00
X-WE60665001,Not Fitted,Not Fitted,Not Fitted,1.14E-05,2
EC_11261632,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.00E+00
X-WE60667960,Not Fitted,5.80E-06,Not Fitted,3.14E-06,2
