Plate,Well,Concentration,CPD_ID,G/N,R/N,Nuclei,Eccent
EMT 1-2,A05,3.23E-05,EC_1669101,0.145279919,0.47739389,0.626405397,-0.194418542
EMT 1-2,B05,3.23E-05,EC_2115383,-0.025186782,-0.152829039,-0.577256666,-0.986114172
EMT 1-2,C05,3.23E-05,EC_2153600,-0.006041036,-0.045374832,-0.460006425,-0.365185399
EMT 1-2,D05,3.23E-05,EC_2118873,0.141669947,0.492101531,-0.028911018,-0.870585443
EMT 1-2,E05,3.23E-05,EC_3028064,0.448147452,-0.142617744,-0.125923546,-0.030230074
EMT 1-2,F05,3.23E-05,EC_4753261,0.33317522,0.511602078,0.339865082,0.309286041
EMT 1-2,G05,3.23E-05,EC_3839735,-0.004705502,0.569861652,0.139415355,-2.121801936
EMT 1-2,H05,3.23E-05,EC_4753381,-0.025186782,-0.152829039,-0.576614199,-0.270731252
EMT 1-2,I05,3.23E-05,EC_3908975,0.051043067,0.195902536,0.237712817,-0.671063563
EMT 1-2,J05,3.23E-05,EC_4756168,2.388433156,0.471789351,0.275618375,1.206998864
EMT 1-2,K05,3.23E-05,EC_3941139,1.087692006,0.138745073,0.176035978,0.603940252
EMT 1-2,L05,3.23E-05,EC_4795178,-0.025186782,-0.141714183,-0.34243495,-1.711602041
EMT 1-2,M05,3.23E-05,EC_3960084,-0.018906698,0.011905372,-0.075168648,-0.767789627
EMT 1-2,N05,3.23E-05,EC_9786646,1.84058303,1.080677728,0.766141985,0.592224615
EMT 1-2,O05,3.23E-05,EC_3970232,1.129033839,0.733324505,0.55316415,0.226310168
EMT 1-2,P05,3.23E-05,EC_11484996,0.568917884,0.834449684,0.480244137,-0.127125685
EMT 1-2,A06,9.68E-06,EC_1669101,0.322329364,0.286630271,0.522004497,-0.102490633
EMT 1-2,B06,9.68E-06,EC_2115383,0.125896153,0.18960455,0.147446193,-1.770485411
EMT 1-2,C06,9.68E-06,EC_2153600,1.087057994,0.36171058,0.119177642,0.238551398
EMT 1-2,D06,9.68E-06,EC_2118873,1.350194227,0.590123995,0.30517186,0.359810787
EMT 1-2,E06,9.68E-06,EC_3028064,0.950430179,0.309082599,0.42595567,-0.018633119
EMT 1-2,F06,9.68E-06,EC_4753261,1.115213086,0.623615952,0.53678124,0.035553822
EMT 1-2,G06,9.68E-06,EC_3839735,0.71689416,0.871326293,0.883070993,0.053339211
EMT 1-2,H06,9.68E-06,EC_4753381,0.212863473,-0.104450453,0.149373595,-0.57382886
EMT 1-2,I06,9.68E-06,EC_3908975,0.121787118,0.324819732,0.286540315,-0.624523152
EMT 1-2,J06,9.68E-06,EC_4756168,2.396331741,0.507038423,0.234821715,1.203201031
EMT 1-2,K06,9.68E-06,EC_3941139,1.15136948,0.10678525,0.142948924,0.795934284
EMT 1-2,L06,9.68E-06,EC_4795178,0.142396404,0.688182056,0.455830389,0.363862939
EMT 1-2,M06,9.68E-06,EC_3960084,0.028486053,0.125093979,0.71121105,0.220443872
EMT 1-2,N06,9.68E-06,EC_9786646,2.315783881,0.622276046,0.195631224,0.859073261
EMT 1-2,O06,9.68E-06,EC_3970232,1.193706606,0.762810984,0.518792162,0.15008223
EMT 1-2,P06,9.68E-06,EC_11484996,0.663339627,0.813337263,0.500160617,0.039317746
EMT 1-2,A07,2.90E-06,EC_1669101,0.512802509,0.033988905,0.028268551,0.115443957
EMT 1-2,B07,2.90E-06,EC_2115383,0.952140949,0.149202322,0.069386444,0.706261338
EMT 1-2,C07,2.90E-06,EC_2153600,1.160199603,0.207957419,0.097333762,0.670843153
EMT 1-2,D07,2.90E-06,EC_2118873,1.436228593,0.028075376,0.047863797,1.202166799
EMT 1-2,E07,2.90E-06,EC_3028064,1.113686499,0.238528923,0.355605525,0.509926926
EMT 1-2,F07,2.90E-06,EC_4753261,1.555607032,0.348416889,0.296819788,0.591359929
EMT 1-2,G07,2.90E-06,EC_3839735,1.355337163,0.507659251,0.439768712,0.382801241
EMT 1-2,H07,2.90E-06,EC_4753381,1.184625004,0.177072654,0.202377128,0.774520608
EMT 1-2,I07,2.90E-06,EC_3908975,0.94922591,0.438785797,0.545775779,-0.015479561
EMT 1-2,J07,2.90E-06,EC_4756168,2.408891554,0.385958467,0.185672984,1.248418982
EMT 1-2,K07,2.90E-06,EC_3941139,1.114795134,0.101982378,0.09540636,0.846679439
EMT 1-2,L07,2.90E-06,EC_4795178,0.827031608,0.762932016,0.72116929,0.297163493
EMT 1-2,M07,2.90E-06,EC_3960084,0.585536791,0.382740414,0.546097013,0.413624727
EMT 1-2,N07,2.90E-06,EC_9786646,1.862348414,0.514395803,0.171538709,0.943286821
EMT 1-2,O07,2.90E-06,EC_3970232,1.025495075,0.28131906,0.240603919,0.55041454
EMT 1-2,P07,2.90E-06,EC_11484996,0.736700837,0.192715809,0.175714745,0.273681355
EMT 1-2,A08,8.71E-07,EC_1669101,0.409228325,-0.034466487,-0.110183103,0.293772571
EMT 1-2,B08,8.71E-07,EC_2115383,1.117653501,0.029238717,-0.034693222,0.938709076
EMT 1-2,C08,8.71E-07,EC_2153600,1.255797278,0.059833003,0.061355606,0.925772706
EMT 1-2,D08,8.71E-07,EC_2118873,1.302150994,0.021391509,0.027947318,1.209728557
EMT 1-2,E08,8.71E-07,EC_3028064,1.20144226,0.119436755,0.281721812,0.787541751
EMT 1-2,F08,8.71E-07,EC_4753261,1.259155062,0.230290137,0.154834565,0.782218002
EMT 1-2,G08,8.71E-07,EC_3839735,1.20066657,0.145057298,0.141021523,0.756819993
EMT 1-2,H08,8.71E-07,EC_4753381,1.149276178,0.035871323,0.05717957,1.058340822
EMT 1-2,I08,8.71E-07,EC_3908975,1.380173432,0.152837582,0.137487954,0.907207406
EMT 1-2,J08,8.71E-07,EC_4756168,1.775046024,0.458616693,0.164471571,1.16037368
EMT 1-2,K08,8.71E-07,EC_3941139,1.491068861,-0.051332502,0.079665917,1.191637985
EMT 1-2,L08,8.71E-07,EC_4795178,1.090171383,0.414509432,0.48409894,0.502924671
EMT 1-2,M08,8.71E-07,EC_3960084,1.046424555,0.293425204,0.398972053,0.659822655
EMT 1-2,N08,8.71E-07,EC_9786646,1.758834444,0.21530768,-0.00995824,1.230955732
EMT 1-2,O08,8.71E-07,EC_3970232,0.932791186,0.186299638,0.151300996,0.443702209
EMT 1-2,P08,8.71E-07,EC_11484996,0.629361542,-0.016615833,-0.077096049,0.579423882
EMT 1-2,A09,2.61E-07,EC_1669101,0.440071769,-0.092364244,-0.197237392,0.869195165
EMT 1-2,B09,2.61E-07,EC_2115383,0.946222323,0.044063119,0.023771282,0.886590597
EMT 1-2,C09,2.61E-07,EC_2153600,1.018531569,-0.038552844,-0.050433665,1.231176141
EMT 1-2,D09,2.61E-07,EC_2118873,1.188808066,0.138082952,0.142306457,0.893321578
EMT 1-2,E09,2.61E-07,EC_3028064,1.349071424,0.072569943,0.128493415,0.892779031
EMT 1-2,F09,2.61E-07,EC_4753261,1.307424982,0.06129679,0.142306457,0.87072108
EMT 1-2,G09,2.61E-07,EC_3839735,1.142202871,0.014506869,0.066495342,0.95537546
EMT 1-2,H09,2.61E-07,EC_4753381,1.077590318,0.031535495,0.081914552,0.940387582
EMT 1-2,I09,2.61E-07,EC_3908975,1.208795383,0.029517805,0.093800193,0.890184975
