Plate,Well,Concentration,Compound Name,Plate Name,Class,G,R,Nuclei,Eccent,LDA_1
EMT-Serie2-1-C1,M03,0,DMSO,EMT-Serie2-1-C1,0,0.865407675,-0.136759156,-0.114469972,1.165557904,-0.339176685
EMT-Serie2-1-C1,N03,0,DMSO,EMT-Serie2-1-C1,0,1.02315145,0.065320663,0.047158404,0.805457724,-0.165474887
EMT-Serie2-1-C1,O03,0,DMSO,EMT-Serie2-1-C1,0,0.713153691,-0.131931775,-0.140266022,0.724348439,-0.325546921
EMT-Serie2-1-C1,P03,0,DMSO,EMT-Serie2-1-C1,0,1.132328494,0.025759065,-0.076582023,0.626777282,-0.274267936
EMT-Serie2-1-C1,A04,0,DMSO,EMT-Serie2-1-C1,0,0.818342619,-0.071429053,-0.122128174,0.784847773,-0.271982469
EMT-Serie2-1-C1,B04,0,DMSO,EMT-Serie2-1-C1,0,1.1290233,0.055678038,-0.060459492,1,-0.208206307
EMT-Serie2-1-C1,C04,0,DMSO,EMT-Serie2-1-C1,0,0.81403002,-0.002629439,-0.027408303,1.143617438,-0.169745073
EMT-Serie2-1-C1,D04,0,DMSO,EMT-Serie2-1-C1,0,0.96960429,0.143946289,0.174929464,0.544754898,-0.054509883
EMT-Serie2-1-C1,E04,0,DMSO,EMT-Serie2-1-C1,0,1.324742848,-0.02209538,-0.042321644,1.260650648,-0.315478502
EMT-Serie2-1-C1,F04,0,DMSO,EMT-Serie2-1-C1,0,1.096593915,0.068879171,0.056831923,1.190550729,-0.155347404
EMT-Serie2-1-C1,G04,0,DMSO,EMT-Serie2-1-C1,0,0.908428018,-0.064251358,0.016928658,0.942918265,-0.255033498
EMT-Serie2-1-C1,H04,0,DMSO,EMT-Serie2-1-C1,0,0.985137947,0,0.057638049,0.859669719,-0.19959336
EMT-Serie2-1-C1,I04,0,DMSO,EMT-Serie2-1-C1,0,0.827250796,-0.034189452,-0.02700524,1.049437792,-0.20289314
EMT-Serie2-1-C1,J04,0,DMSO,EMT-Serie2-1-C1,0,1.389643122,0.056237637,0.000403063,1.334376875,-0.242433424
EMT-Serie2-1-C1,K04,0,DMSO,EMT-Serie2-1-C1,0,1.243810873,-0.079481879,-0.05280129,1.282695468,-0.349794895
EMT-Serie2-1-C1,L04,0,DMSO,EMT-Serie2-1-C1,0,1.221165013,0.044014115,0.005642886,1.221856983,-0.22293107
EMT-Serie2-1-C1,M04,0,DMSO,EMT-Serie2-1-C1,0,1.089164774,-0.006181205,0.031035873,1.000678302,-0.246064382
EMT-Serie2-1-C1,N04,0,DMSO,EMT-Serie2-1-C1,0,1.133456637,0.082037155,0.031035873,0.80031828,-0.168205403
EMT-Serie2-1-C1,O04,0,DMSO,EMT-Serie2-1-C1,0,0.775269453,-0.110300255,-0.041112455,0.824111033,-0.289779279
EMT-Serie2-1-C1,P04,0,DMSO,EMT-Serie2-1-C1,0,0.84227509,0.097399822,0,0.119720331,-0.136030095
EMT-Serie2-1-C1,A05,3.23E-05,EC_11187255,EMT-Serie2-1-C1,2,0.956296734,0.360539264,0.149939541,0.089405442,0.15577432
