Plate,Well,Class,G,Surface_nucleus,R,Nuclei,Eccentricity
4082_EMT-Serie2-1-C1_29112017_1156,A01,1,0.012626143,-0.532781971,0.987324755,0.922208787,-0.168949414
4082_EMT-Serie2-1-C1_29112017_1156,B01,1,-0.034147634,-0.092198148,1.006961946,1.010882709,-0.02060995
4082_EMT-Serie2-1-C1_29112017_1156,C01,1,0.074318191,0.155009359,0.999426917,0.92261185,0.164253476
4082_EMT-Serie2-1-C1_29112017_1156,D01,1,0.0316993,0.10011378,1.016293084,0.983071342,0.135138661
4082_EMT-Serie2-1-C1_29112017_1156,E01,1,0.024049059,0.3018584,1.008323861,0.94719871,-0.041272077
4082_EMT-Serie2-1-C1_29112017_1156,F01,1,-0.041684457,-0.404737145,1.007955739,1.009673519,-0.148000313
4082_EMT-Serie2-1-C1_29112017_1156,G01,1,0,0.256371044,1.003981915,0.999193873,0.053194542
4082_EMT-Serie2-1-C1_29112017_1156,H01,1,-0.018384575,0.053757784,1.015048483,1.055219669,0.169575539
4082_EMT-Serie2-1-C1_29112017_1156,I01,1,0.026293648,0.059544637,1.002265363,0.934703748,0
4082_EMT-Serie2-1-C1_29112017_1156,J01,1,-0.014925063,-0.439384856,0.986449623,1.060862555,-0.162792518
4082_EMT-Serie2-1-C1_29112017_1156,K01,1,0.029601483,0.326522872,1.004484879,1,-0.014922647
4082_EMT-Serie2-1-C1_29112017_1156,L01,1,0.005765224,0.03907655,1.010168513,1.047561467,0.033002009
4082_EMT-Serie2-1-C1_29112017_1156,M01,1,0.006784703,0.228501168,0.967448891,0.912938331,-0.149435183
4082_EMT-Serie2-1-C1_29112017_1156,N01,1,-0.03589667,0.021300023,1.001372702,0.980249899,-0.35848269
4082_EMT-Serie2-1-C1_29112017_1156,O01,1,-0.031420849,-0.137428582,0.939943609,0.893188231,-0.438991939
4082_EMT-Serie2-1-C1_29112017_1156,P01,1,-0.036588232,0.300953057,0.984559124,0.842402257,-0.521483916
4082_EMT-Serie2-1-C1_29112017_1156,A02,1,0.02286583,-0.110305003,1,0.92019347,-0.29735723
4082_EMT-Serie2-1-C1_29112017_1156,B02,1,-0.029646005,-0.151008723,1.008755358,1.031841999,0.000521771
4082_EMT-Serie2-1-C1_29112017_1156,C02,1,-0.005759187,0.175930117,0.983063715,1.014510278,0.112832955
4082_EMT-Serie2-1-C1_29112017_1156,D02,1,0.00288714,-0.157774325,1.018748576,1.056831923,0.157966137
4082_EMT-Serie2-1-C1_29112017_1156,E02,1,0.040864421,-0.129488481,0.989091198,0.989520355,-0.009991913
4082_EMT-Serie2-1-C1_29112017_1156,F02,1,0.030490791,-0.058480248,1.004294751,1.041918581,0.020923013
4082_EMT-Serie2-1-C1_29112017_1156,G02,1,-0.029923324,0.160624931,0.979865238,1.038694075,0.182124129
4082_EMT-Serie2-1-C1_29112017_1156,H02,1,-0.007538559,-0.031430075,0.984522716,1.021362354,0.140721609
4082_EMT-Serie2-1-C1_29112017_1156,I02,1,0.017010052,-0.228929371,0.970240142,0.996775494,-0.053925022
4082_EMT-Serie2-1-C1_29112017_1156,J02,1,0.030329682,-0.066713973,1.002049614,0.974607013,0.123998852
4082_EMT-Serie2-1-C1_29112017_1156,K02,1,0.062311961,-0.041217564,0.97861794,0.992341798,-0.029897472
4082_EMT-Serie2-1-C1_29112017_1156,L02,1,-0.038816258,0.18508142,0.976875768,1.005642886,0.008974459
4082_EMT-Serie2-1-C1_29112017_1156,M02,1,-0.031349915,-0.300182292,0.978315891,1.072551391,0.026558138
4082_EMT-Serie2-1-C1_29112017_1156,N02,1,-0.020595584,0,1.005755101,1.017331721,0.028984373
4082_EMT-Serie2-1-C1_29112017_1156,O02,1,-0.007166536,-0.159878635,0.966893338,1.042724708,-0.109206647
4082_EMT-Serie2-1-C1_29112017_1156,P02,1,-0.019381038,0.148782069,0.998319856,0.857718662,-0.359004461
4082_EMT-Serie2-1-C1_29112017_1156,A03,0,0.966963153,0.733890405,-0.086162003,-0.187021362,1.038376249
4082_EMT-Serie2-1-C1_29112017_1156,B03,0,1.035617615,0.927242253,0.019042534,-0.063280935,1.200307845
4082_EMT-Serie2-1-C1_29112017_1156,C03,0,1.006693395,1.027245923,-0.081884782,-0.132204756,1.38501474
4082_EMT-Serie2-1-C1_29112017_1156,D03,0,0.857156009,0.863892729,-0.002819568,0.012494962,0.907803084
4082_EMT-Serie2-1-C1_29112017_1156,E03,0,0.852881141,1.01915901,-0.039409226,0.032648126,0.94030941
4082_EMT-Serie2-1-C1_29112017_1156,F03,0,1.110041073,0.54727969,0.042236884,-0.022974607,1.368318072
4082_EMT-Serie2-1-C1_29112017_1156,G03,0,0.845950043,1.369269731,0.057482238,0.000403063,0.64832642
4082_EMT-Serie2-1-C1_29112017_1156,H03,0,1.248361175,1.213281623,0.032814053,0.011285772,1.095431896
4082_EMT-Serie2-1-C1_29112017_1156,I03,0,0.709957915,0.559489582,-0.167689451,-0.098750504,0.959719287
4082_EMT-Serie2-1-C1_29112017_1156,J03,0,1,1.22502661,0.083908776,0.057234986,0.807179567
4082_EMT-Serie2-1-C1_29112017_1156,K03,0,1.229778892,1.161530274,-0.086832173,-0.068117694,1.508022227
4082_EMT-Serie2-1-C1_29112017_1156,L03,0,0.912725525,0.815224439,0.032000949,0.060056429,0.59401007
4082_EMT-Serie2-1-C1_29112017_1156,M03,0,0.865407675,1.061551072,-0.136759156,-0.114469972,1.165557904
4082_EMT-Serie2-1-C1_29112017_1156,N03,0,1.02315145,1.155046062,0.065320663,0.047158404,0.805457724
4082_EMT-Serie2-1-C1_29112017_1156,O03,0,0.713153691,1.126784687,-0.131931775,-0.140266022,0.724348439
4082_EMT-Serie2-1-C1_29112017_1156,P03,0,1.132328494,1.5097202,0.025759065,-0.076582023,0.626777282
4082_EMT-Serie2-1-C1_29112017_1156,A04,0,0.818342619,0.674737267,-0.071429053,-0.122128174,0.784847773
4082_EMT-Serie2-1-C1_29112017_1156,B04,0,1.1290233,0.924575162,0.055678038,-0.060459492,1
4082_EMT-Serie2-1-C1_29112017_1156,C04,0,0.81403002,0.672265926,-0.002629439,-0.027408303,1.143617438
4082_EMT-Serie2-1-C1_29112017_1156,D04,0,0.96960429,0.958244124,0.143946289,0.174929464,0.544754898
4082_EMT-Serie2-1-C1_29112017_1156,E04,0,1.324742848,1.039871784,-0.02209538,-0.042321644,1.260650648
4082_EMT-Serie2-1-C1_29112017_1156,F04,0,1.096593915,0.971200313,0.068879171,0.056831923,1.190550729
4082_EMT-Serie2-1-C1_29112017_1156,G04,0,0.908428018,0.904351762,-0.064251358,0.016928658,0.942918265
4082_EMT-Serie2-1-C1_29112017_1156,H04,0,0.985137947,0.692929763,0,0.057638049,0.859669719
4082_EMT-Serie2-1-C1_29112017_1156,I04,0,0.827250796,0.559562989,-0.034189452,-0.02700524,1.049437792
4082_EMT-Serie2-1-C1_29112017_1156,J04,0,1.389643122,1,0.056237637,0.000403063,1.334376875
4082_EMT-Serie2-1-C1_29112017_1156,K04,0,1.243810873,0.949655603,-0.079481879,-0.05280129,1.282695468
4082_EMT-Serie2-1-C1_29112017_1156,L04,0,1.221165013,1.137428582,0.044014115,0.005642886,1.221856983
4082_EMT-Serie2-1-C1_29112017_1156,M04,0,1.089164774,1.225638328,-0.006181205,0.031035873,1.000678302
4082_EMT-Serie2-1-C1_29112017_1156,N04,0,1.133456637,0.80936418,0.082037155,0.031035873,0.80031828
4082_EMT-Serie2-1-C1_29112017_1156,O04,0,0.775269453,1.027894344,-0.110300255,-0.041112455,0.824111033
4082_EMT-Serie2-1-C1_29112017_1156,P04,0,0.84227509,1.274208743,0.097399822,0,0.119720331
4082_EMT-Serie2-1-C1_29112017_1156,A05,2,0.956296734,0.090375228,0.360539264,0.149939541,0.089405442
4082_EMT-Serie2-1-C1_29112017_1156,B05,2,0.821745912,-0.824608195,0.20658897,0.458686014,-0.591349039
4082_EMT-Serie2-1-C1_29112017_1156,C05,2,0.206688565,-0.254792811,0.872310387,0.750906892,-1.403668049
4082_EMT-Serie2-1-C1_29112017_1156,D05,2,0.022826967,-2.401788664,0.064615434,0.050785973,-1.309671023
4082_EMT-Serie2-1-C1_29112017_1156,E05,2,0.168995772,-1.994861568,-0.101968304,0.220475615,-0.498786883
4082_EMT-Serie2-1-C1_29112017_1156,F05,2,0.004402398,0.781347493,-0.257550468,-0.647722692,-3.982416321
4082_EMT-Serie2-1-C1_29112017_1156,G05,2,0.611228453,1.105986273,0.146303346,-0.729544538,0.319558582
4082_EMT-Serie2-1-C1_29112017_1156,H05,2,0.012897048,-0.108066114,-0.278704374,-0.12898025,-3.404476794
4082_EMT-Serie2-1-C1_29112017_1156,I05,2,0.376993587,0.231804446,-0.070808775,-0.158000806,-0.863765621
4082_EMT-Serie2-1-C1_29112017_1156,J05,2,1.182381807,-0.111932173,0.815122107,0.446594115,-0.350447419
4082_EMT-Serie2-1-C1_29112017_1156,K05,2,0.662330675,0.540514088,0.010552816,-0.810560258,-0.436722235
4082_EMT-Serie2-1-C1_29112017_1156,L05,2,0.403601152,-1.662967811,0.095823507,-0.105199516,0.163418643
4082_EMT-Serie2-1-C1_29112017_1156,M05,2,1.247889543,0.824131054,0.63207808,0.128174123,-0.257259138
4082_EMT-Serie2-1-C1_29112017_1156,N05,2,0.189211787,13.56668339,-0.010891272,-0.698911729,-0.421825676
4082_EMT-Serie2-1-C1_29112017_1156,O05,2,0.321431617,0.049561398,0.504358801,0.456670697,-1.123920586
4082_EMT-Serie2-1-C1_29112017_1156,P05,2,0.111846856,2.380439703,-0.014653393,-0.31076179,-2.438861496
4082_EMT-Serie2-1-C1_29112017_1156,A06,2,1.052649173,0.612268618,0.10779622,0.054816606,0.54686807
4082_EMT-Serie2-1-C1_29112017_1156,B06,2,1.080532031,0.077945117,0.410640194,0.258766626,0.06775195
4082_EMT-Serie2-1-C1_29112017_1156,C06,2,0.726902694,0.275994959,0.934148055,0.655380895,-0.035558686
4082_EMT-Serie2-1-C1_29112017_1156,D06,2,0.920709304,0.033497682,0.384310743,0.322047561,-0.109597976
4082_EMT-Serie2-1-C1_29112017_1156,E06,2,0.961122468,-0.102352668,0.441412724,0.365578396,-0.463932587
4082_EMT-Serie2-1-C1_29112017_1156,F06,2,1.218286174,0.580752903,0.163884181,0.05280129,0.949675198
4082_EMT-Serie2-1-C1_29112017_1156,G06,2,1.233061447,-0.426232918,-0.047804553,-0.197501008,1.780986669
4082_EMT-Serie2-1-C1_29112017_1156,H06,2,1.101506429,0.07394448,0.530463064,0.327690447,0.259059247
4082_EMT-Serie2-1-C1_29112017_1156,I06,2,1.264253271,0.759533626,0.258066648,0.072954454,1.061255903
4082_EMT-Serie2-1-C1_29112017_1156,J06,2,1.164501312,0.896729755,0.303137932,0.07376058,0.581957163
4082_EMT-Serie2-1-C1_29112017_1156,K06,2,0.496863462,1.800653315,-0.022726445,-0.555824264,0.223944066
4082_EMT-Serie2-1-C1_29112017_1156,L06,2,1.095239389,0.660178377,0.477587065,0.181378476,-0.190237667
4082_EMT-Serie2-1-C1_29112017_1156,M06,2,0.971204064,1.434601221,0.409755624,0.133010883,0.293183063
4082_EMT-Serie2-1-C1_29112017_1156,N06,2,0.890132487,0.615070286,0.050330163,-0.049576784,0.359839295
4082_EMT-Serie2-1-C1_29112017_1156,O06,2,0.676166458,0.411025607,0.680161758,0.43611447,-0.196525006
4082_EMT-Serie2-1-C1_29112017_1156,P06,2,0.660217765,0.743445441,0.463594403,0.343812979,-0.716156636
4082_EMT-Serie2-1-C1_29112017_1156,A07,2,0.815807128,0.70734184,0.046082608,-0.023780734,0.519788161
4082_EMT-Serie2-1-C1_29112017_1156,B07,2,1.079000171,0.648775952,0.14210703,0.183393793,0.374135817
4082_EMT-Serie2-1-C1_29112017_1156,C07,2,0.889415607,0.477984267,0.646433469,0.390165256,0.0446375
4082_EMT-Serie2-1-C1_29112017_1156,D07,2,1.301048078,0.652666479,0.195983565,0.161225312,0.841512092
4082_EMT-Serie2-1-C1_29112017_1156,E07,2,1.251621092,1.09607644,0.223463228,0.077791213,0.731548877
4082_EMT-Serie2-1-C1_29112017_1156,F07,2,1.357572177,0.764513011,0.0613374,-0.02700524,1.173854061
4082_EMT-Serie2-1-C1_29112017_1156,G07,2,1.329757234,0.215997651,0.171946446,-0.095929061,1.129920952
4082_EMT-Serie2-1-C1_29112017_1156,H07,2,1.052147357,0.728079083,0.129098723,0.104796453,0.851973598
4082_EMT-Serie2-1-C1_29112017_1156,I07,2,1.214920611,0.733009531,0.272202243,0.024183797,1.055881662
4082_EMT-Serie2-1-C1_29112017_1156,J07,2,1.108811058,0.944749624,0.250008428,0.159613059,0.563669093
4082_EMT-Serie2-1-C1_29112017_1156,K07,2,0.879205727,0.804237983,0.07435245,0.012494962,0.887245311
4082_EMT-Serie2-1-C1_29112017_1156,L07,2,1.214675363,0.801754407,0.33643742,0.103990326,0.672223527
4082_EMT-Serie2-1-C1_29112017_1156,M07,2,1.235830868,1.116140793,0.128146731,0.065699315,1.102841042
4082_EMT-Serie2-1-C1_29112017_1156,N07,2,0.949127934,1.012515752,0.018984551,0.010076582,0.728157366
4082_EMT-Serie2-1-C1_29112017_1156,O07,2,0.86368339,1.051041756,0.157473743,0.099959694,0.314940909
4082_EMT-Serie2-1-C1_29112017_1156,P07,2,0.702242023,0.932955699,0.124207966,0.20274083,-0.060055829
4082_EMT-Serie2-1-C1_29112017_1156,A08,2,0.852145395,0.701652862,-0.028155226,-0.062071745,0.892802171
4082_EMT-Serie2-1-C1_29112017_1156,B08,2,1.007557424,0.603741268,0.050133292,0.057638049,0.914899168
4082_EMT-Serie2-1-C1_29112017_1156,C08,2,0.92492003,1.122013287,0.151997767,0.111245466,0.814823511
4082_EMT-Serie2-1-C1_29112017_1156,D08,2,0.97708248,0.656630412,0.267177991,0.149133414,0.760011479
4082_EMT-Serie2-1-C1_29112017_1156,E08,2,1.024838004,0.61662405,0.121453122,0.093510681,0.897315489
4082_EMT-Serie2-1-C1_29112017_1156,F08,2,1.200511324,2.011084331,0.300058117,0.090286175,1.036445697
4082_EMT-Serie2-1-C1_29112017_1156,G08,2,0.985205862,0.695388869,0.013612404,-0.007658202,1.159557538
4082_EMT-Serie2-1-C1_29112017_1156,H08,2,1.07077869,0.851731774,0.084600521,0.106005643,0.925752002
4082_EMT-Serie2-1-C1_29112017_1156,I08,2,1.124295665,0.827152942,0.111156508,0.02337767,0.852912786
4082_EMT-Serie2-1-C1_29112017_1156,J08,2,1.149831684,0.851181228,0.170655998,0.094719871,0.76590749
4082_EMT-Serie2-1-C1_29112017_1156,K08,2,1.210068466,0.890257778,0.033942689,0.041515518,1.250554382
4082_EMT-Serie2-1-C1_29112017_1156,L08,2,1.13873891,1.581535902,0.141355955,0.07617896,0.478072578
4082_EMT-Serie2-1-C1_29112017_1156,M08,2,1.245712492,0.942461798,0.098412493,0.142281338,0.760402807
4082_EMT-Serie2-1-C1_29112017_1156,N08,2,1.001052682,1.036935537,0.114113616,0.084643289,0.727792126
4082_EMT-Serie2-1-C1_29112017_1156,O08,2,0.865045462,1.359115211,0.103864197,0.02579605,0.476089849
4082_EMT-Serie2-1-C1_29112017_1156,P08,2,0.723650323,0.897035614,0.165184067,0.027408303,0.37677076
4082_EMT-Serie2-1-C1_29112017_1156,A09,2,0.872119935,0.77048338,-0.04280727,-0.262797259,1.077535154
4082_EMT-Serie2-1-C1_29112017_1156,B09,2,1.146417072,0.859708578,-0.029732889,0.046755341,0.709791031
4082_EMT-Serie2-1-C1_29112017_1156,C09,2,0.867758286,1.12042282,-0.055998964,-0.07980653,1.231170593
4082_EMT-Serie2-1-C1_29112017_1156,D09,2,1.097506993,0.718218188,0.083210289,0.016525595,1.044533145
4082_EMT-Serie2-1-C1_29112017_1156,E09,2,1.240577368,0.980094694,-0.013137757,0.016928658,1.171062586
4082_EMT-Serie2-1-C1_29112017_1156,F09,2,1.362477145,0.907508228,0.024140949,0.042724708,1.184393833
4082_EMT-Serie2-1-C1_29112017_1156,G09,2,1.063319365,0.968484285,0.067317689,0.087464732,0.889906342
4082_EMT-Serie2-1-C1_29112017_1156,H09,2,1.062674174,1.292193254,0.201536402,0.129383313,1.069525971
4082_EMT-Serie2-1-C1_29112017_1156,I09,2,0.950950319,0.573289942,-0.030281701,-0.008061266,1.248154235
4082_EMT-Serie2-1-C1_29112017_1156,J09,2,1.38112357,1.633531938,0.22273103,0.174123337,1.144947953
4082_EMT-Serie2-1-C1_29112017_1156,K09,2,1.253911335,1.178536036,0.095675179,0.094719871,1.109545798
4082_EMT-Serie2-1-C1_29112017_1156,L09,2,1.227349046,0.923792163,0.062085779,-0.032648126,1.126659884
