Plate_Sanofi,Well,COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Concentration,PlateSanofi_Well
EMT-Serie2-1-C1,C07,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_C07
EMT-Serie2-1-C1,C08,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_C08
EMT-Serie2-1-C1,C09,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_C09
EMT-Serie2-1-C1,C10,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_C10
EMT-Serie2-1-C1,C11,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_C11
EMT-Serie2-1-C1,C12,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_C12
EMT-Serie2-1-C1,C13,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_C13
EMT-Serie2-1-C1,C14,EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_C14
EMT-Serie2-1-C1,C15,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_C15
EMT-Serie2-1-C1,C16,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_C16
EMT-Serie2-1-C1,C17,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_C17
EMT-Serie2-1-C1,C18,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_C18
EMT-Serie2-1-C1,C19,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_C19
EMT-Serie2-1-C1,C20,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_C20
EMT-Serie2-1-C1,C21,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_C21
EMT-Serie2-1-C1,C22,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_C22
EMT-Serie2-1-C1,C23,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_C23
EMT-Serie2-1-C1,C24,EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_C24
